,,30/06/2000,31/07/2000,31/08/2000,30/09/2000,31/10/2000,30/11/2000,31/12/2000,31/01/2001,28/02/2001,31/03/2001,30/04/2001,31/05/2001,30/06/2001,31/07/2001,31/08/2001,30/09/2001,31/10/2001,30/11/2001,31/12/2001,31/01/2002,28/02/2002,31/03/2002,30/04/2002,31/05/2002,30/06/2002,31/07/2002,31/08/2002,30/09/2002,31/10/2002,30/11/2002,31/12/2002,31/01/2003,28/02/2003,31/03/2003,30/04/2003,31/05/2003,30/06/2003,31/07/2003,31/08/2003,30/09/2003,31/10/2003,30/11/2003,31/12/2003,31/01/2004,29/02/2004,31/03/2004,30/04/2004,31/05/2004,30/06/2004,31/07/2004,31/08/2004,30/09/2004,31/10/2004,30/11/2004,31/12/2004,31/01/2005,28/02/2005,31/03/2005,30/04/2005,31/05/2005,30/06/2005,31/07/2005,31/08/2005,30/09/2005,31/10/2005,30/11/2005,31/12/2005,31/01/2006,28/02/2006,31/03/2006,30/04/2006,31/05/2006,30/06/2006,31/07/2006,31/08/2006,30/09/2006,31/10/2006,30/11/2006,31/12/2006,31/01/2007,28/02/2007,31/03/2007,30/04/2007,31/05/2007,30/06/2007,31/07/2007,31/08/2007,30/09/2007,31/10/2007,30/11/2007,31/12/2007,31/01/2008,29/02/2008,31/03/2008,30/04/2008,31/05/2008,30/06/2008,31/07/2008,31/08/2008,30/09/2008,31/10/2008,30/11/2008,31/12/2008,31/01/2009,28/02/2009,31/03/2009,30/04/2009,31/05/2009,30/06/2009,31/07/2009,31/08/2009,30/09/2009,31/10/2009,30/11/2009,31/12/2009,31/01/2010,28/02/2010,31/03/2010,30/04/2010,31/05/2010,30/06/2010,31/07/2010,31/08/2010,30/09/2010,31/10/2010,30/11/2010,31/12/2010,31/01/2011,28/02/2011,31/03/2011,30/04/2011,31/05/2011,30/06/2011,31/07/2011,31/08/2011,30/09/2011,31/10/2011,30/11/2011,31/12/2011,31/01/2012,29/02/2012,31/03/2012,30/04/2012,31/05/2012,30/06/2012,31/07/2012,31/08/2012,30/09/2012,31/10/2012,30/11/2012,31/12/2012,31/01/2013,28/02/2013,31/03/2013,30/04/2013,31/05/2013,30/06/2013,31/07/2013,31/08/2013,30/09/2013,31/10/2013,30/11/2013,31/12/2013,31/01/2014,28/02/2014,31/03/2014,30/04/2014,31/05/2014,30/06/2014,31/07/2014,31/08/2014,30/09/2014,31/10/2014,30/11/2014,31/12/2014,31/01/2015,28/02/2015,31/03/2015,30/04/2015,31/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,31/10/2015,30/11/2015,31/12/2015,31/01/2016,29/02/2016,31/03/2016,30/04/2016,31/05/2016,30/06/2016,31/07/2016,31/08/2016,30/09/2016,31/10/2016,30/11/2016,31/12/2016,31/01/2017,28/02/2017,31/03/2017,30/04/2017,31/05/2017,30/06/2017,31/07/2017,31/08/2017,30/09/2017,31/10/2017,30/11/2017,31/12/2017,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022,31/03/2022,30/04/2022,31/05/2022,30/06/2022,31/07/2022,31/08/2022,30/09/2022,31/10/2022
ING Industrial Fund,IIF,5.06993,0,-2.72109,0.90909,-0.70922,0.71429,3.61702,0.14006,1.3986,-2.68966,5.95065,0.27397,1.36612,1.30944,8.16327,-2.2956,3.28947,4.4586,3.87195,-3.59281,0.62112,2.0679,0.61728,3.06749,-0.92262,-0.6135,2.46914,-0.93374,3.10559,0.60241,1.46707,3.61446,0.5814,-1.47399,4.19162,1.72414,-0.87571,-2.32558,0.59524,-3.22485,4.375,1.79641,5.61765,-1.70455,3.46821,2.55307,-2.22222,1.13636,3.16292,2.77778,5.40541,2.38462,7.65306,1.4218,2.64019,-4.62963,0,0.83981,0.98039,4.36893,-1.05581,3.34928,3.7037,7.05357,-2.9661,-2.18341,1.29464,0,2.69058,0.39301,-3.53982,-4.12844,8.56459,-3.13901,5.09259,5.70485,0.42373,-0.42194,2.11864,3.79747,-3.25203,0.98739,3.38983,-0.40984,-1.91358,6.41026,7.63052,7.25746,-1.06007,-4.28571,-3.56343,-20.47244,3.46535,4.06699,-1.87793,-4.54546,-19.04762,-12.10191,15.94203,-0.4375,-78.3871,29.85075,-65.51724,7.14286,-44.66667,50.60241,36,47.05882,-2,10.20408,87.03704,24.75248,-9.17198,-17.47573,12.94118,-6.25,-5.55556,6.58824,-2.24719,-11.49425,-0.51948,18.66667,2.24719,9.45055,7.14286,-0.95238,2.5,0.95238,0,0.9434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated Group Ltd,IWF,0.8,3.1746,-1.53846,-14.0625,2.95455,4.54546,-13.04348,-14,-1.16279,-5.58824,-15.58442,18.46154,-7.79221,12.67606,8.75,-24.13793,17.04545,4.05405,3.8961,-3.75,22.07792,1.32979,1.08696,-7.52688,4.65116,-11.11111,12.5,3.61111,12.22222,-1.9802,-5.05051,14.89362,10.18519,0,-6.08696,13.88889,10.56911,2.94118,17.14286,9.14634,-11.17318,0.64935,8.3871,9.52381,6.52174,1.02041,2.57732,-7.03518,-1.08108,6.55738,10.76923,11.11111,5.41667,1.21458,2,0,-5.88235,-8.33333,-18.13953,4.54546,-22.82609,5.6338,30.66667,-16.83673,12.10191,2.27273,-2.77778,-8.57143,-0.3125,3.44828,6.25,11.76471,10,9.56938,-8.29694,10.47619,-1.32743,-12.55605,1.02564,15.22843,11.45374,2.37154,-0.7874,6.34921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International All Sports Ltd,IAS,-21.66667,21.2766,-5.26316,-4.62963,-2,-22.44898,2.63158,1.28205,-3.79747,-32.89474,21.56863,-27.41936,-2.22222,0,-9.09091,0,-2.5,5.12821,51.21951,-19.35484,4,26.92308,27.27273,107.1429,-18.3908,19.71831,34.11765,4.38597,11.60714,40.8,-17.61364,37.93103,-9.5,-1.70455,-5.78035,6.74847,8.04598,-6.91489,-5.14286,-14.15663,-20,-14.28571,-11.45833,-5.88235,-10,0,-8.33333,-28.0303,-32.63158,43.75,-15.21739,-1.28205,12.98701,-21.83908,-1.47059,-1.49254,1.51515,-4.47761,-15.625,0,-33.33333,38.88889,16,12.06897,21.53846,-3.79747,25,23.91304,-19.29825,4.34783,-6.25,-14.44444,-18.18182,-7.93651,3.44828,-8.33333,-1.81818,0,29.62963,-18.57143,12.2807,-9.375,-6.89655,29.62963,-14.28571,3.33333,-12.90323,37.03704,-5.40541,-7.14286,16.92308,-23.68421,25.86207,-17.80822,-1.66667,3.38983,-8.19672,-21.42857,4.54546,-28.26087,0,0,39.39394,-30.43478,143.75,23.07692,-6.25,12.22222,13.86139,0.86957,0.86207,1.7094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Wine Investment Fund (The),IWI,6.03448,3.33333,4.83871,-7.17949,9.39227,1.51515,0.49751,1.0101,25,-4,-0.83333,-1.2605,17.23404,-3.7037,9.61539,-3.50877,5.45455,1.37931,-1.44558,3.1579,8.84354,-4.6875,-17.04918,1.18577,-5.85938,2.12766,-1.25,-8.01688,-1.83486,-10.74766,1.43979,64.02116,-9.03226,-3.90071,13.65314,-4.22078,-0.25424,3.7234,-6.66667,8.24176,-4.06091,-1.5873,1.07527,3.80435,0.52356,-1.5625,0,3.1746,3.58974,-1.53061,-0.51813,1.04167,2.57732,2.51256,6.61765,5.6338,2.66667,1.2987,0.8547,9.74576,2.89575,-12.30769,7.45614,-3.67347,-22.88136,1.64835,8.10811,-3.35052,-6.13333,1.13636,2.52809,3.0137,1.06383,-3.05556,2.00573,-3.37079,2.03488,11.11111,4.8718,-7.45501,-3.88889,-6.06936,-1.23077,9.65732,-9.09091,-6.25,3.33333,-6.45161,2.06897,2.7027,9.21053,-23.07692,-6.66667,7.14286,-19.58333,5.69948,0.4902,-6.48649,-0.57803,2.32558,9.65909,0.51813,-6.89655,3.7037,3.57143,17.24138,1.47059,-7.24638,-17.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intoll Group,ITO,6.45161,12.12121,11.48649,-7.27273,30.71895,7.5,9.76744,-5.9322,10.36036,14.28571,-5.35714,3.77359,13.09091,6.10933,-0.9697,4.03917,11.76471,-8.44737,0.60362,-3.71429,2.67062,-0.57803,-3.77907,-2.41692,-10.52632,-3.11419,3.57143,3.10345,-3.34448,13.14879,-2.14067,-0.3125,0,-1.5674,4.77707,7.29483,1.69972,-6.96379,-3.59281,1.24224,-2.76074,3.15457,3.97554,-8.23529,-5.12821,0.67568,-7.71812,16,3.44828,4.84849,2.60116,5.35211,-0.80214,6.73854,-13.19444,12.05882,-4.46194,-1.0989,0.83333,7.16253,10.47558,-4.08654,-2.50627,3.08483,-14.46384,2.62391,1.13636,-0.8427,-0.84986,8.85714,-6.29921,-5.32213,-0.59172,-19.04762,15.80882,1.5873,5.625,3.84615,-1.4245,5.78035,4.91803,0,-1.30208,-2.37467,-2.7027,-9.16667,0.91743,-5.45455,1.28205,1.89873,-5.90062,0.33003,-3.94737,-4.79452,1.79856,6.00707,-22.66667,10.77586,-14.78599,5.47945,-15.15152,-10.71429,3.42857,-6.43275,-35.625,42.71844,-8.16327,2.96296,10.07194,1.3986,-8.27586,10.90226,-2.0339,-10.0346,4.23077,-8.98876,-7.40741,-0.44444,0.44643,-7.55556,0.96154,41.34615,0.34014,1.01695,1.00671,0.66445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventis Ltd,IVT,-37.93103,66.66666,0,-23.33333,-13.04348,7.5,16.27907,-2,-10.20408,2.27273,0,-11.11111,-25,66.66666,4,-11.53846,18.18182,7.69231,-16.07143,19.14894,3.57143,3.44828,-13.33333,15.38461,-13.33333,-3.84615,-8,4.34783,8.69565,4,7.69231,0,-10.71429,0,-22,-2.5641,-13.1579,9.09091,11.11111,20,0,20.83333,-17.24138,-4.16667,13.04348,-7.69231,-4.16667,13.04348,0,3.84615,25.92593,-2.94118,15.15152,-10.52632,-5.88235,21.875,2.5641,-20,-6.25,0,-18.33333,0,-2.04082,25,-16.66667,0,32,-3.0303,-6.25,6.66667,9.375,0,-1.42857,-1.44928,17.64706,10,13.95349,12.2449,0,-9.09091,-4,-16.66667,0,0,5,-4.76191,-12.5,0,-17.14286,3.44828,0,-33.33333,-25,-33.33333,20,12.5,-25.92593,0,-20,-10,-2.77778,-42.85714,67.5,0,-40.29851,25,-10,-11.11111,-12.5,11.42857,2.5641,0,12.5,0,57.77778,0,-43.66197,25,0,-10,-11.11111,0,0,-5,-5.26316,0,0,0,122.2222,12.5,33.33333,-12.5,-9.52381,0,-15.78947,0,0,0,-71.25,-56.52174,29.412,0,20,0,-16.66667,-20,0,0,50,-33.33333,75,-36.3625,71.42857,0,0,0,0,0,0,0,0,-33.33333,25,-50,160,0,0,-46.15385,-28.57143,40,0,-14.28571,16.66667,28.57143,0,0,0,0,0,-44.44444,0,0,0,0,0,0,0,0,0,0,0,-60,0,0,50,0,233.3333,10,0,0,0,63.63636,0,0,-33.33333,8.33333,0,0,-23.07692,10,18.18182,0,-30.76923,11.11111,-10,-11.11111,-37.5,0,0,0,-20,0,0,25,0,0,0,0,0,-20,-25,0,0,66.66666,-20,0,25,0,0,-40,0,0,100,33.33333,-12.5,42.85714,0,10,0,0,-9.09091,-6.89653,-11.11111,0,-6.25,-20,8.33333,3.84615,-25.92593,0,-15,35.29412,0,-21.73913,-10,-2.46914,1.26582,-5,5.26316
Investa Office Fund,IOF,7.63393,-2.8621,5.35714,-1.15466,-1.75439,-1.78571,6.94318,0,-2.6087,-1.21652,0.92593,1.83486,-0.32658,2.77778,1.8018,4.10398,3.47826,3.36135,-0.29472,-2.5,1.7094,1.37605,0.84746,4.20168,-1.09879,-1.66667,1.69492,-0.30208,3.4188,-0.82645,-0.30208,2.5641,-3.33333,1.41164,0,4.34783,-2.80208,0.87719,-1.73913,-0.39823,1.81818,-0.89286,5.9009,2.6087,2.54237,5.41322,-5.6,4.23729,-1.99187,5.08475,0,4.47581,8.66142,-1.44928,-0.33088,-6.01504,-2.4,2.09016,0.40984,8.16327,-1.4717,3.90625,0.75188,0.78358,-1.50943,1.14943,2.34849,3.39623,5.10949,0.76389,-3.50877,-2.54546,7.53731,1.76678,2.43056,7.86441,1.59744,-3.77359,1.69935,3.92157,-1.25786,2.33758,5.09554,9.09091,-1.28889,-4.28571,3.8806,3.83908,1.1236,-6.38889,-2.26706,-21.2963,4.31373,1.65414,5.28302,-5.01792,-11.16981,25.21739,0.34722,0.13841,-22.1831,-1.35747,-13.6161,-38.88889,-47.47475,71.65385,2.35294,31.03448,-10.73152,5.43478,12.37113,4.55046,7.14286,-3.33333,12.03448,-4.6875,-0.81967,-1.68595,5.12821,-7.31707,3.47368,4.31035,-0.82645,1.63333,2.5,-4.87805,-3.45299,8.10811,1.66667,3.2459,1.6129,0.79365,3.11811,-0.77519,-3.90625,0.78049,2.45902,-4.8,2.4874,5.83333,-1.5748,1.6,7.48032,-1.4652,4.34944,7.38007,-2.74914,2.12014,2.76817,-2.3569,5.43104,2.0202,0.66007,0.32787,7.18954,-2.7439,-5.95611,1.37457,-0.33898,0.34014,5.42373,0.32154,3.28526,-0.95847,3.22581,1.25,3.08642,0.2994,4.25373,5,2.80112,-8.71935,6.26866,-0.8427,5.82153,6.04396,4.14508,-2.98508,-4.61539,6.72043,-1.83879,4.21053,-2.77778,2.33766,2.53807,-4.45545,6.1658,-2.5,1.79487,5.54156,-0.47733,1.91847,3.01177,7.00935,-0.43668,0.2193,-7.22101,4.00943,9.29705,-4.66102,3.77778,1.71306,0,-0.63158,-4.83051,3.41686,-0.44053,-0.44248,-0.44444,7.14286,-3.09375,-2.63736,-4.51467,1.89125,1.85615,15.03417,5.57426,-1.33843,3.29457,3.56473,0.54348,0.54054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestSMART Group Ltd,INV,-20,50,-13.88889,-16.12903,-3.84615,-8,0,4.34783,-14.58333,-10,-5.55556,-14.70588,0,10.34483,-3.125,6.66667,6.25,-45.88235,-29.34783,7.69231,0,-4.28571,-5.97015,6.34921,11.9403,1.33333,31.57895,-19,41.97531,4.34783,0,16.66667,-3.57143,0,-18.51852,-54.54546,50,8,14.81481,-6.45161,-2.29885,-4.70588,-7.40741,-4,-2.04861,0,-14.28571,11.66667,-10.44776,16.66667,-7.14286,13.84615,-2.7027,1.38889,-6.84932,1.47059,-20.28986,-3.63636,-5.66038,-18,0,0,58.53659,3.07692,0,5.97015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.831,-10.44776,10,9.09091,-13.88889,3.22581,-3.125,-6.45161,6.89655,-3.22581,-5,5.26316,-1.66667,1.69492,-8.33333,-1.81818,-5.55556,-13.72549,54.54546,-8.82353,-9.67742,7.14286,-8.33333,-16.36364,-19.56522,2.7027,-2.63158,-2.7027,-5.55556,0,-17.64706,3.57143,-10.34483,7.69231,-28.57143,-5,1.05263,-35.41667,19.35484,8.10811,6.25,41.17647,4.16667,-23.2,-6.25,-21.11111,-22.53521,7.27273,50.84746,-16.85393,-2.7027,11.11111,-8.75,4.10959,18.42105,-8.88889,4.87805,5.81395,92.30769,8.57143,-5.26316,19.44444,2.32558,2.27273,26.66667,45.61404,12.04819,-1.07527,-6.52174,-13.95349,-13.51351,3.125,-21.21212,-7.69231,29.16667,0,-9.67742,-10.71429
ION Ltd,ION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWL Ltd,IWL,-5.19481,-1.36986,-8.33333,-30.30303,-4.34783,0,-9.09091,10,-6.81818,-0.97561,3.44828,-13.80952,24.30939,2.22222,-13.04348,-5,-7.89474,34.28571,10.6383,0,-7.69231,-6.25,4.44445,14.89362,-9.25926,8.16327,-1.88679,-3.84615,-20,-15,23.52941,0,-14.28571,-13.88889,22.58064,-5.26316,0,5.55556,15.78947,15.90909,13.72549,1.72414,10.16949,-4.61539,11.29032,-8.69565,1.63934,3.22581,-4.6875,6.55738,1.53846,3.0303,6.06061,7.16429,-2.22222,22.27273,20.4461,-14.81481,-0.74906,-3.77359,-0.39216,10.23622,11.07143,-0.66225,10,12.12121,6.75676,11.13924,0.45558,17.68707,-3.73281,-8.97959,-3.58744,6.51163,-1.0917,16.11479,1.75097,-9.56023,-0.84567,3.41151,1.64949,2.079,-3.46232,4.21941,25.50607,-5.16129,9.18367,1.26984,0.94044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDV Ltd,JDV,-5.29101,-2.23464,12.57143,-6.09137,-13.51351,-3.125,1.93548,-14.55696,3.7037,-7.14286,-1.53846,7.8125,0,-1.44928,-11.76471,-25,-10,-17.28395,16.41791,-10.25641,-4.28571,0,-4.47761,-6.25,-21.66667,6.38298,-10,-15.55556,-7.89474,8.57143,0,-5.26316,-5.55556,-20.58824,22.22222,-7.57576,-1.63934,16.66667,0,45.71429,-1.96078,10,-10.90909,22.44898,-5,7.01754,6.55738,-7.69231,18.33333,-4.22535,2.94118,2.85714,0,11.42857,2.5641,1.25,25.92593,-6.76471,-6.52174,4.65116,-27.77778,38.46154,2.88889,6.62983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Shearer holdings,SHR,0,-2.42424,0,14.90683,7.02703,-7.89474,0,0,-13.71429,22.51656,5.40541,0,-10.25641,-5.71429,0,-15.15152,16.42857,-3.22581,-3.33333,17.24138,-8.23529,1.28205,0,-4.43038,0.66225,0,0,6.57895,4.32099,0,-0.62112,3.75,0,0.60241,-2.39521,-7.97546,3.33333,-2.58065,6.62252,33.54037,6.04651,-8.63636,-4.47761,6.77083,11.70732,-2.18341,2.67857,-4.34783,2.27273,0,0,16,3.83142,-4.21456,0.4,-0.39841,20,0,3.33333,0,0,0,-14.51613,21.13208,0,0,-3.22581,-8.33333,-0.72727,2.5641,13.13869,-5.80645,6.16438,0,0,12.58065,0.87719,0,0.28986,4.04624,11.11111,-8.5,1.38889,0,4.10959,0,-7.89474,6.85714,-10.41096,-2.44648,0.31348,0,-13.4375,-16.6065,0,2.66667,-0.4329,0,3.47826,2.52101,2.12766,0,0,0,0,2.91667,0,14.10788,-5.09091,3.44828,11.11111,1.33333,0,1.69492,-1.66667,0.33898,-0.33784,-15.25424,13.11475,-2.17391,0,7.40741,-8.62069,2.26415,9.43396,-12.06897,0,0,-1.96078,2.4,0,2,-9.80392,0,0,-10.43478,11,3.6036,0,0,2.6087,0,0,0,-13.04348,0,5,-9.52381,-7.89474,-1.71429,0,0,-4.06977,0,0,-7.87879,-11.18421,0,7.40741,-13.10345,0.39683,-0.79051,0,0,3.18725,-3.4749,0.8,0,-4.76191,-5,5.26316,33.33333,6.25,0,0,0,4.70588,12.35955,5,4.76191,0,0,0,-9.09091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joyce Corp Ltd,JYC,-23.66412,17.89474,-9.82143,-0.9901,-10,-20,-4.696,12.4222,1.33333,-2.91,-10.9589,-2.59049,3.125,0,0,0,0,0,0,0,0,-54.19812,36.45729,15,-18.47826,-6.66667,85.71429,-7.69231,-8.33333,20,-0.45151,21.76189,-5.2375,-10.66525,-6.71642,-5,-7.01754,26.41509,19.40298,-8.75,-1.36986,-11.11111,-3.125,12.90323,-2.14286,-4.54546,-4.76191,-1.66667,-3.38983,21.05263,7.24638,5.40541,4.48718,30.37975,-8.73786,-9.57447,5.88235,-23.33333,-5.7971,22.30769,-7.14286,4.89511,16,-13.7931,3.33333,16,18.3908,-2.91262,5.31915,5.05051,-1.92308,4.90196,-4.20561,-1.46342,3.9604,6.66667,3.57143,0.86207,1.7094,0.84034,-0.83333,5.04202,0,6,-2.71318,-1.19522,-6.04839,3.43348,5.39419,2.36221,0.7874,0,-6.25,-7.5,-0.9009,0,0.93458,-14.81481,-13.04348,11.25,-19.10112,4.16667,-16.66667,0,-33.33333,22.5,12.2449,2.72727,-25.45455,17.07317,18.75,-29.82456,23.75,3.0303,7.14286,-0.95238,0,-25,-5.12821,-10.81081,21.21212,12.5,-17.77778,-29.72973,3.84615,11.11111,15,18.84058,2.43902,0,23.80952,10,-18.18182,11.11111,-1,-17.17172,19.5122,-14.89362,23.75,0,-11.11111,-6.81818,7.31707,-4.54546,3.57143,0,-9.52381,-17.10526,26.98413,-2.5,5.12821,0,13.78049,-8.69565,7.14286,-14.44444,6.49351,0,0,-5,40.78947,-2.91262,0,-10,0,3.33333,7.52688,0,2,5.88235,2.85714,-3.7037,13.65385,-4.38597,-0.91743,16.66667,26.98413,39.375,-3.66973,0,2.85714,-5.09259,9.26829,-0.89286,-7.20721,15,-6.36364,-2.91262,3,3.8835,2.94118,0,0.95238,18.39623,18.7251,7.38255,-7.5,5.6338,-4.66667,10.48951,-5.06329,11.66667,4.93827,-2.94118,-0.90909,1.52905,-0.60241,-3.0303,3.125,4.08805,-6.94864,-5.19481,6.84932,2.5641,-0.96774,-1.9544,-5.64784,2.11268,4.13793,11.25828,-4.76191,1.25,-4.48718,-0.67114,-2.36487,3.80623,0,4.82759,1.77632,-1.96078,0,10.66667,-3.61446,-5.625,1.36986,1.35135,-12,-35.60606,11.76471,5.26316,10.5,12.21719,15.32258,8.39161,2,7.84314,13.125,4.97238,14.21053,10.59908,9.44206,-4.31373,8.60656,-0.37736,21.59091,1.55763,17.40506,1.61725,-9.28382,-2.33918,-1.19761,1.06061,-17.17791,1.85185,-12.72727,10.83333,16.54135,19.51613,-5.27778
